InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,OriginalDescription,TotalPrice,Year,Month,MonthYear,YearQuarter,Time,Hour,Minute,Weekday,TimeOfDay,MissingCustomerID,MissingDescription,IsValidSale,IsValidReturn
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311,United Kingdom,SET OF 3 COLOURED  FLYING DUCKS,-4.65,2010,12,2010-12,2010Q4,09:49:00,9,49,Wednesday,Morning,False,False,False,True
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2010-12-01 10:24:00,1.65,17548,United Kingdom,PLASTERS IN TIN CIRCUS PARADE ,-19.799999999999997,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,PACK OF 12 PINK PAISLEY TISSUES ,-6.959999999999999,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,PACK OF 12 BLUE PAISLEY TISSUES ,-6.959999999999999,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,PACK OF 12 RED RETROSPOT TISSUES ,-6.959999999999999,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-12-01 10:24:00,3.45,17548,United Kingdom,CHICK GREY HOT WATER BOTTLE,-41.400000000000006,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2010-12-01 10:24:00,1.65,17548,United Kingdom,PLASTERS IN TIN VINTAGE PAISLEY ,-19.799999999999997,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548,United Kingdom,PLASTERS IN TIN SKULLS,-39.599999999999994,2010,12,2010-12,2010Q4,10:24:00,10,24,Wednesday,Morning,False,False,False,True
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897,United Kingdom,JAM MAKING SET WITH JARS,-25.5,2010,12,2010-12,2010Q4,12:38:00,12,38,Wednesday,Morning,False,False,False,True
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841,United Kingdom,HAND WARMER RED RETROSPOT,-2.1,2010,12,2010-12,2010Q4,14:30:00,14,30,Wednesday,Afternoon,False,False,False,True
