InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,OriginalDescription_x,MissingCustomerID_x,MissingDescription_x,IsCancelled_x,IsReturn_x,IsFreeItem_x,TotalPrice_x,Year_x,Month_x,MonthYear_x,YearQuarter_x,Hour_x,Minute_x,Time_x,TimeOfDay_x,OriginalDescription_y,MissingCustomerID_y,MissingDescription_y,IsCancelled_y,IsReturn_y,IsFreeItem_y,TotalPrice_y,Year_y,Month_y,MonthYear_y,YearQuarter_y,Hour_y,Minute_y,Time_y,TimeOfDay_y
536589,21777,RECIPE BOX WITH METAL HEART,-10,2010-12-01 16:50:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,50,16:50:00,Afternoon,,,,,,,,,,,,,,,
536764,84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,-38,2010-12-02 14:42:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,42,14:42:00,Afternoon,,,,,,,,,,,,,,,
536996,22712,CARD DOLLY GIRL ,-20,2010-12-03 15:30:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,30,15:30:00,Afternoon,,,,,,,,,,,,,,,
536997,22028,PENNY FARTHING BIRTHDAY CARD,-20,2010-12-03 15:30:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,30,15:30:00,Afternoon,,,,,,,,,,,,,,,
536998,85067,CREAM SWEETHEART WALL CABINET,-6,2010-12-03 15:30:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,30,15:30:00,Afternoon,,,,,,,,,,,,,,,
537000,21414,,-22,2010-12-03 15:32:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,32,15:32:00,Afternoon,,,,,,,,,,,,,,,
537001,21653,,-6,2010-12-03 15:33:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,33,15:33:00,Afternoon,,,,,,,,,,,,,,,
537003,85126,LARGE ROUND CUTGLASS CANDLESTICK,-2,2010-12-03 15:33:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,33,15:33:00,Afternoon,,,,,,,,,,,,,,,
537004,21814,HEART T-LIGHT HOLDER ,-30,2010-12-03 15:34:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,34,15:34:00,Afternoon,,,,,,,,,,,,,,,
537005,21692,SILVER LATTICE VANILLA CANDLE POT,-70,2010-12-03 15:35:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,35,15:35:00,Afternoon,,,,,,,,,,,,,,,
537006,21648,ASSORTED TUTTI FRUTTI SMALL PURSE,-130,2010-12-03 15:36:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,36,15:36:00,Afternoon,,,,,,,,,,,,,,,
537007,21172,PARTY METAL SIGN ,-80,2010-12-03 15:36:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,36,15:36:00,Afternoon,,,,,,,,,,,,,,,
537008,21161,KEEP OUT BOYS DOOR HANGER ,-120,2010-12-03 15:37:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,37,15:37:00,Afternoon,,,,,,,,,,,,,,,
537009,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,-80,2010-12-03 15:38:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,38,15:38:00,Afternoon,,,,,,,,,,,,,,,
537010,22162,HEART GARLAND RUSTIC PADDED,-40,2010-12-03 15:38:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,38,15:38:00,Afternoon,,,,,,,,,,,,,,,
537011,22139,RETROSPOT TEA SET CERAMIC 11 PC ,-5,2010-12-03 15:38:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,38,15:38:00,Afternoon,,,,,,,,,,,,,,,
537012,21535,RED RETROSPOT SMALL MILK JUG,-12,2010-12-03 15:39:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,39,15:39:00,Afternoon,,,,,,,,,,,,,,,
537013,35965,FOLKART HEART NAPKIN RINGS,-25,2010-12-03 15:40:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,40,15:40:00,Afternoon,,,,,,,,,,,,,,,
